judul,sub_judul,isi,tanggal,jam,kategori
"Kepala BGN Ungkap Alasan PSSI Sulit Menang: Main 90 Menit Berat, Karena Gizinya Tidak Bagus","Kepala BGN  Dadan Hindayana menyoroti rendahnya kualitas gizi masyarakat sejak usia dini yang berdampak pada performa atlet Indonesia,","TEMPO.CO,Jakarta- Kepala Badan Gizi Nasional (BGN) Dadan Hindayana menyoroti rendahnya kualitas gizi masyarakat sejak usia dini yang berdampak pada performa atlet Indonesia, termasuk pemain sepak bola. Menurutnya, keterbatasan asupan gizi berkualitas menjadi salah satu alasan mengapa tim nasional sulit bersaing di kancah internasional.

“Jadi jangan heran kalauPSSIitu sulit menang, karena main 90 menit berat, kenapa? Karena gizinya tidak bagus. Banyak pemain bola lahir dari kampung,” ujar Dadan dalam sambutannya saat penandatanganan MoU antara BGN dan Kementerian Pekerjaan Umum di Kantor Kementerian PU, Jakarta, Sabtu, 22 Maret 2025.

Dadan mengakui adanya peningkatan kualitas pemain sepak bola nasional dengan hadirnya pemain keturunan Belanda yang memiliki asupan gizi lebih baik. Namun, ia menilai bahwa Indonesia masih belum mampu menyaingi negara seperti Australia dan Jepang yang telah membangun kualitas gizi dan kecerdasan sumber daya manusia selama puluhan tahun.

“Nah sekarang PSSI sudah agak baik, karena 17 pemainnya merupakan produk makan bergizi di negeri Belanda. Meskipun belum mampu mengalahkan Australia dan Jepang, apalagi Jepang yang makan bergizinya sudah 100 tahun,” tutur Dadan.

Lebih lanjut, Dadan menegaskan bahwa selain kemampuan fisik, kecerdasan membaca permainan lawan juga menjadi faktor penting dalam kesuksesan atlet. Melalui program ""Makan Bergizi Gratis"", ia berharap kualitas gizi masyarakat dapat diperbaiki sehingga menghasilkan sumber daya manusia yang lebih kompetitif. ""Jadi untuk olahraga sekalipun kita butuh kecerdasan.Karena untuk bisa mengoper bola dengan cermat tanpa melihat, butuh kecerdasan,"" ucapnya.",23 Maret 2025,16.43 WIB,Bisnis
"Kementerian PU Bangun Dapur MBG Senilai Rp 4,5 Miliar per Unit, Target 1.542 Titik",Seluruh pembangunan dapur MBG akan dibiayai melalui skema Corporate Social Responsibility dari tiga BUMN karya.,"TEMPO.CO,Jakarta- Kementerian Pekerjaan Umum (PU) dan Badan Gizi Nasional menandatangani nota kesepahaman (MoU) untuk mendukung Program Makan Bergizi Gratis (MBG) pada Sabtu, 22 Maret 2025. Kerja sama ini diklaim untuk menyediakan makanan bergizi bagi masyarakat yang membutuhkan, terutama anak sekolah, ibu hamil, ibu menyusui, dan balita.

Menteri Pekerjaan Umum, Dody Hanggodo menyampaikan,Kementerian PUmendukung program ini dengan membangun Satuan Pelayanan Pemenuhan Gizi (SPPG) sebagai dapur umum.

""PU menyiapkan lahan beserta perizinannya. Teman-teman karya menyiapkan bangunan beserta peralatan perlengkapan dapurnya. Kita akan men-supportlebih jika itu memang diizinkan. Pak Kepala BGN menyampaikan ada 1.542 SPPG lagi yang perlu segera disiapkan dan dibangun,” ucap Dody dalam konferensi pers penandatanganan Mou antara Kementerian PU dengan BGN, di Jakarta, Sabtu, 22 Maret 2025.

Seluruh pembangunan dapur SPPG ini akan dibiayai melalui skema Corporate Social Responsibility (CSR) dari tiga BUMN karya, yakni; PT. Adhi Karya (Persero), PT. Hutama Karya (Persero) dan PT. Pembangunan Perumahan (Persero). Satu unit dapur SPPG dibutuhkan Rp 4,5 Miliar yang terdiri dari: bangunan dapur, tempat parkir, akses masuk lokasi, jaringan air bersih, sanitasi, dan instalasi pengolah air limbah (IPAL), peralatan dapur dan kendaraan untuk distribusi.

Dapur SPPG bakal dibangun di lahan milik Kementerian PU dengan luas total sekitar 900 meter persegi. Bangunan dapurnya sendiri memiliki luas 300 meter persegi, lengkap dengan lahan parkir. Kementerian PU juga akan menyediakan sarana pendukung berupa jaringan air bersih, sanitasi, instalasi pengolah air limbah (IPAL), sumur bor, dan peralatan dapur sesuai standar yang ditetapkan oleh Badan Gizi Nasional.",22 Maret 2025,16.10 WIB,Bisnis
BPOM Awasi Ketat Makanan Ultra Proses di Program Makan Bergizi Gratis,"Kepala BPOM Taruna Ikrar menjelaskan perkembangan teknologi pangan tidak bisa dihindari, termasuk dalam produksi makanan ultra proses.","TEMPO.CO,Jakarta- Badan Pengawas Obat dan Makanan (BPOM) menegaskan makanan ultra proses (ultra processed food) berisiko lebih tinggi dibandingkan makanan yang diolah dengan proses minimal. Berdasarkan hal tersebut, Kepala BPOM Taruna Ikrar akan memperketat perizinan untuk memastikan keamanan bagi masyarakat.

Taruna menjelaskan perkembangan teknologi pangan tidak bisa dihindari, termasuk dalam produksi makanan ultra proses. Namun, pengawasan yang ketat tetap menjadi prioritas agar produk yang beredar di Indonesia aman dikonsumsi. ""Ultra proses ini memang memiliki risiko lebih tinggi atau high risk dibandingkan yang low risk. Karena itu, BPOM sudah mengeluarkan aturan khusus untuk makanan seperti ini agar tetap bisa mengikuti perkembangan zaman, tetapi tetap melindungi masyarakat,"" ujar Taruna saat ditemui di Kantor BPOM, Jakarta Pusat, Jumat, 21 Maret 2025.

Menurutnya, makanan ultra proses memiliki karakteristik tertentu, seperti perbedaan masa kedaluwarsa, sterilitas, serta potensi alergi pada kelompok tertentu. BPOM memastikan semua produk yang telah mendapatkan izin edar telah memenuhi standar keamanan pangan.

Taruna juga menekankan BPOM tidak melarang makanan ultra proses beredar di Indonesia. “Kalau kami melarang, itu artinya kami menolak teknologi. Yang penting adalah ada regulasi yang mengawasi dan memastikan keamanannya,"" katanya.

Namun Taruna tidak dapat menyebutkan contoh atau jenis makananultra-processedyang aman. Namun, ia memastikan berbagai bentuk makanan ultra proses, mulai dari tepung, produk cair, hingga olahan seperti keju, dapat dikonsumsi selama memiliki izin edar BPOM. ""Yang jelas, jika ada logo dan barcode BPOM, berarti produk tersebut sudah melalui proses pengujian dan memenuhi ketentuan yang berlaku,"" kata dia.",22 Maret 2025,09.25 WIB,Bisnis
Prabowo Klaim Para Pimpinan Negara Ingin Pelajari Makan Bergizi Gratis,Prabowo mengatakan ia telah menerima surat dari pimpinan-pimpinan dunia yang ingin belajar soal program makan bergizi gratis.,"TEMPO.CO,Jakarta- Presiden RIPrabowoSubianto mengklaim sejumlah pemimpin dunia ingin mempelajari pelaksanaan programMakan Bergizi Gratis(MBG) yang telah sudah dimulai sejak 6 Januari 2025.

“Saya terima surat-surat dari pimpinan-pimpinan dunia. Mereka ingin belajarMBG, padahal kita baru mulai karena kita paling serius usaha,” kata Prabowo saat membuka Sidang Kabinet Paripurna bersama dengan jajaran Menteri serta Wakil Menteri Kabinet Merah Putih di Istana Kepresidenan, Jakarta, Jumat, 21 Maret 2025.

Kepala Negara mengatakan, MBG sudah menjangkau 3 juta penerima manfaat dalam 3 bulan. Namun, dia mengakui masih terdapat masyarakat yang mengeluh belum merasakan program tersebut.

""Jadi ini sesuatu yang mengusik hati saya, mereka dengar di desa sebelah sudah, dengar di sekolah sebelah sudah, saya sampaikan, 'Bu, kita berusaha sekuat tenaga tapi kita tidak mungkin seketika, negara kita sangat besar, mohon sabar',"" kata dia.

Dalam kondisi itu, Prabowo meminta Kepala Badan Gizi Nasional Dadan Hindayana untuk berpikir kreatif dan mempercepat penyaluran MBG. Sebab, rakyat membutuhkan hal tersebut. ""Saya minta Kepala BGN dan semua jajaran berpikir inovatif kreatif, bagaimana kalau bisa kita percepat, apa pakai sistem hibrida atau bagaimana karena kasihan rakyat kita sangat membutuhkan,"" kata dia.",21 Maret 2025,22.33 WIB,Politik
Kilas Balik Penghapusan Dwifungsi ABRI yang Jadi Tuntutan Gerakan Reformasi 1998,Revisi UU TNI dikhawatirkan buka peluang munculnya dwifungsi militer. Dulu penghapusan dwifungsi ABRI jadi salah satu tuntutan gerakan reformasi 1998.,"TEMPO.CO,Jakarta- Pencetus Aksi Kamisan, Maria Catarina Sumarsih, mengungkapkan kekhawatirannya mengenai perluasan penempatan prajurit TNI aktif di lembaga negara lewat Revisi UU TNI. Sumasih mengaku cemas Revisi UU TNI berpeluang mengembalikan dwifungsi TNI, yang pada masa era Orde Baru disebutdwifungsi ABRI.

Sumarsih menyoroti aksi protes yang dilakukan aktivis Komisi untuk Orang Hilang dan Korban Tindak Kekerasan (Kontras) saat menggeruduk rapat panitia kerja pembahasanRevisi UU TNIdi Hotel Fairmont, 15 Maret 2025.

“Dan bila dinyatakan melanggar hukum, bukankah negara dalam hal ini eksekutif, legislatif, dan yudikatif, juga melanggar hukum? Sebab membunuh itu dilarang oleh Tuhan dan juga oleh konstitusi,” kata Sumarsih sambil memegang secarik kertas petisi penolakan Revisi UU TNI di Jakarta, 17 Maret 2025.

Sumarsih merupakan ibu dari Benardinus Realino Norma Irawan atau Wawan, seorang mahasiswa Universitas Atma Jaya Jakarta. Ia merupakan satu dari 17 korban tragedi Semanggi I. Sumarsih tidak pernah luput berdiri di depan Istana Negara Jakarta sejak 18 Januari 2007. Aksi ini merupakan bentuk protes para keluarga korban Tragedi 1965, Semanggi I, Semanggi II, Trisakti, Tragedi 13-15 Mei 1998, kasus Talangsari, kasus Tanjung Priok, dan pembunuhan aktivis Munir.

Sumarsih menyebut hingga saat ini TNI maupun Polri tidak pernah dibawa ke pengadilan atas pelanggaran HAM berat penghilangan paksa dan pembunuhan pada 1997-1998. Bahkan, kata Sumarsih, berkas penyelidikan Komnas HAM atas peristiwa Semanggi I, Semanggi II, dan Trisakti pada 2002 tidak pernah ditindaklanjuti oleh Jaksa Agung hingga saat ini.",20 Maret 2025,11.55 WIB,Politik
"Soal Program 3 Juta Rumah, Ketum REI: Presiden Prabowo Sudah Tidak Antusias",Ketua Umum REI Joko Suranto menilai Presiden Prabowo Subianto tidak lagi antusias dengan program 3 juta rumah. Mengapa?,"TEMPO.CO,Jakarta- Ketua Umum Real Estate Indonesia (REI) Joko Suranto menilai program 3 juta rumah per tahun tidak berproges selama berjalannya lima bulan pemerintahan PresidenPrabowoSubianto. Joko juga menilai kepala negara sudah tidak antusias dengan program yang dijanjikan sejak kampanye Pilpres 2024 itu.

""Presiden Prabowo sudah tidak antusias lagi, tidak pernah berbicara lagi terkait dengan program3 juta rumah,"" kata Joko dalam rapat dengar pendapat umum (RDPU) di Badan Aspirasi Masyarakat DPR RI di Gedung Parlemen Senayan pada Rabu, 19 Maret 2025.

Menurut Joko, kini Prabowo lebih antusias dengan program-program lain, seperti makan bergizi gratis (MBG), hilirisasi, hingga Danantara. Kemudian teranyar, soal pedirian Koperasi Desa Merah Putih. Karena itu, ia khawatir, kontribusi pengembang dalam program 3 juta rumah akan sia-sia.

Padahal, menurut Joko, sektor perumahan bisa membuka ketersediaan lapangan pekerjaan hingga 9 juta. Selain itu, bisa menumbuhan setidaknya 400 ribu pelaku industri baru di seluruh Indonesia. ""Kami melihat dan gelisah, sehingga hari ini bisa hadir di sini,"" ucapnya.

Selain menilai program 3 juta rumah tidak berprogres karena Prabowo tidak lagi antusias, Joko menyebut, asosiasi pengembang perumahan memiliki sejumlah persoalan. Ia mengatakan pemerintah tidak membeeri perlindungan dan bimbingan kepada pengembang. Walhasil, pengembang merasa ketakutan akan kepastian berusaha. Pengembang perumahan subsidi, menurut Joko, juga tidak nyaman berusaha dicurigai terkait dengan isu pengembang nakal yang disampaikan Kementerian Perumahan dan Kawasan Permukiman (PKP).",19 Maret 2025,12.26 WIB,Bisnis
Deretan Pejabat Berlatar Belakang Militer dalam Pemerintahan Prabowo,Dominasi figur militer dalam kabinet dan posisi strategis di pemerintahan Prabowo menunjukkan pergeseran pola kepemimpinan saat ini.,"TEMPO.CO,Jakarta- Komisi untuk Orang Hilang dan Korban Tindak Kekerasan (KontraS) mencatat sejumlah pejabat berlatar belakang militer dalam kabinet PresidenPrabowoSubianto lebih banyak dibandingkan pemerintahan sebelumnya.

“Di zaman Prabowo ada kurang lebih sepuluh individu dengan latar belakang militer, dan bahkan satu orang dengan status militer aktif, yaitu Seskab (Sekretaris Kabinet)Teddy Indra Wijaya,” kata Koordinator KontraS Dimas Bagus Arya saat konferensi pers menyikapi revisi Undang-Undang TNI, di gedung Yayasan Lembaga Bantuan Hukum Indonesia (YLBHI), Jakarta Pusat, pada Kamis, 6 Maret 2025.

Dimas Bagus Arya membandingkan kabinet Prabowo dengan kabinet Presiden Joko Widodo (Jokowi) dan Susilo Bambang Yudhoyono (SBY).

Menurut KontraS, setidaknya terdapat sepuluh individu dengan latar belakang militer dalam kabinet Prabowo, termasuk satu orang dengan status militer aktif, yakni Sekretaris Kabinet (Seskab) Teddy Indra Wijaya. Hal ini jauh lebih banyak dibandingkan kabinetJokowi, yang hanya memiliki dua pejabat berlatar belakang militer pada periode pertama, yaitu Tedjo Edhy Purdijatno (Menko Polhukam) dan Ryamizard Ryacudu (Menteri Pertahanan).

Pada periode kedua Jokowi, hanya ada Prabowo Subianto sebagai Menteri Pertahanan. Sementara itu, pada kabinet pertama SBY, hanya Sudi Silalahi, seorang purnawirawan Letnan Jenderal TNI AD, yang menduduki jabatan publik.",19 Maret 2025,11.01 WIB,Politik
Celios: IHSG Ambruk karena Publik Meragukan Kebijakan Ekonomi Prabowo,Rendahnya kepercayaan publik terhadap kebijakan ekonomi yang diambil pemerintahan Prabowo Subianto menjadi salah satu sebab IHSG ambruk.,"TEMPO.CO,Jakarta-Perdagangan saham di Bursa Efek Indonesia pada Selasa, 18 Maret 2025 mengalami penghentian sementara atau trading halt akibat penurunan poin yang drastis. Center of Economic and Law Studies (Celios) menilai anjloknya IHSG terjadi karena pemerintah belum berhasil meyakinkan publik dan investor soal masa depan ekonomi Indonesia.

Menurut Direktur Eksekutif Celios Bhima Yudhistira, kurangnya rasa percaya terhadap pemerintah telah terlihat dalam beberapa waktu terakhir. ""Trust kita terhadap pemerintah, terhadap kebijakan publik itu bisa dikatakan minus saat ini,"" kata Bhima dalam diskusi daring di media sosial X @dirtyvote pada Selasa, 18 Maret 2025.

Salah satu penyebabnya, kata Bhima, adalah peran militer yang semakin aktif di era Presiden Prabowo Subianto. Contohnya, dalam program Makan Bergizi Gratis (MBG) hingga pengerjaan food estate di Merauke, Papua. Pelibatan TNI di pos-pos selain militer, kata Bhima, menimbulkan keraguan soal masa depan ekonomi Indonesia.

Bhima menilai pasar sejak awal sudah mengantisipasi Prabowo akan memperkuat peran Tentara Nasional Indonesia (TNI) ketika menjabat. Pasar, kata dia, kemudian menunjukkan reaksi signifikan terhadap rencana revisi Undang-Undang Nomor 34 Tahun 2004 tentang TNI yang akan memperpanjang masa dinas dan menambahkan jabatan sipil yang boleh dipegang militer.

Bhima menilai wacana revisi UU TNI gagal memberi sinyal yang meyakinkan untuk para investor. Apalagi, Bhima berujar saat ini kondisi ekonomi sedang menunjukkan gejala melesu. ""Yang dilihat ketika situasi ekonomi memburuk, tapi kemudian justru perhatian (pemerintah) ada pada faktor pertahanan dan keamanan. Ini yang enggak matching, mau ke arah mana sebenarnya dari sisi pemerintahan?"" ucap Bhima.",19 Maret 2025,10.40 WIB,Bisnis
Kala Presiden Prabowo Mengaku Pernah Diancam IHSG Anjlok karena Makan Bergizi Gratis,Prabowo mengatakan pernah mendapatkan ancaman berupa pelemahan IHSG karena menjalankan program Makan Bergizi Gratis.,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto pernah mengaku mendapatkan ancaman berupa pelemahan Indeks Harga Saham Gabungan (IHSG) karena menjalankan program Makan Bergizi Gratis.

Pilihan editor:Kejanggalan Pembahasan Kilat Revisi UU TNI

Hal ini diutarakan Prabowo saat menghadiri Tanwir dan Milad ke-112 Muhammadiyah di Universitas Muhammadiyah Kupang, Nusa Tenggara Timur, Rabu 4 Desember 2024.

Prabowo mengaku pernah diejek dan ditertawakan karena mau memberi makan gratis untuk anak-anak Indonesia.

“Di awal mereka tertawakan saya, saya tahu mereka mengancam saya, saya tahu saya diancam. Nanti harga saham, harga indeks saham akan turun. Di hari-hari pertama saya luncurkan gagasan makan bergizi, sudah muncul,” kata Prabowo.",18 Maret 2025,15.05 WIB,Politik
Kala Prabowo Mengaku Pernah Diancam IHSG Anjlok karena Makan Bergizi Gratis,Prabowo mengaku pernah diejek dan ditertawakan karena mau memberi makan bergizi gratis untuk anak-anak Indonesia.,"TEMPO.CO,Jakarta- PresidenPrabowoSubianto pernah mengaku mendapatkan ancaman berupa pelemahan Indeks Harga Saham Gabungan (IHSG) karena menjalankan program Makan Bergizi Gratis.

Hal ini diutarakan Prabowo saat menghadiri Tanwir dan Milad ke-112 Muhammadiyah di Universitas Muhammadiyah Kupang, Nusa Tenggara Timur, Rabu 4 Desember 2024.

Prabowo mengaku pernah diejek dan ditertawakan karena mau memberimakan bergizi gratisuntuk anak-anak Indonesia.

“Di awal mereka tertawakan saya. Saya tahu mereka mengancam saya. Saya tahu saya diancam. Nanti harga saham, harga indeks saham akan turun. Di hari-hari pertama saya luncurkan gagasan makan bergizi, sudah muncul,” kata Prabowo.

Namun Prabowo tidak mempermasalahkan hal tersebut. Bahkan, dirinya tampak tidak peduli jika IHSG terus turun karena dirinya pun tidak memiliki satu pun saham.",18 Maret 2025,15.02 WIB,Politik
Kapolri Resmikan 20 SPPG untuk Program Makan Bergizi Gratis,Kapolri Jenderal Polisi Listyo Sigit Prabowo meresmikan 20 Satuan Pelayanan Pemenuhan Gizi (SPPG) guna mendukung program Makan Bergizi Gratis Prabowo Subianto.,"TEMPO.CO,Jakarta-KapolriJenderal Listyo Sigit Prabowo meresmikan 20 Satuan Pelayanan Pemenuhan Gizi (SPPG) pada Senin, 17 Maret 2024 guna mendukung programMakan Bergizi Gratisatau MBG. Peresmian juga dihadiri Menteri Pendidikan Dasar Menengah Abdul Mu’ti, Kepala Badan Gizi Nasional Dadan Hindayana, dan Ketua Yayasan Kemala Bhayangkari Juliati Sigit Prabowo.

“Alhamdulillah, untuklaunchingawal ini kami laksanakan di empat SPPG di tingkat Mabes dan 16 SPPG di tingkat polda prioritas,” kata Sigit melalui keterangan tertulis pada Senin.

Dia mengatakan, pembangunan SPPG tidak berhenti sampai di sini. Pembangunan SPPG, kata dia, akan terus berlanjut dengan target 100 lokasi pada Juli 2025.

Kapolri menjelaskan, pembentukan SPPG ini merupakan realisasi atasMemorandum of Understanding(MoU) antara Polri dengan Badan Gizi Nasional. “Sebagai komitmen kami untuk mendukung program makan bergizi gratis, maka Polri pun melakukan rekrutmen terhadap Bakomsus yang memiliki keahlian di bidang gizi,” ujar dia.

Ke depan, Sigit mengatakan, juga akan ada Bakomsus bidang akuntan, peternakan, dan perikanan, guna melengkapi program MBG. Seluruh SPPG di bawah Polri, klaim dia, akan memilikifood securityguna memastikan kualitasnya sesuai standar.",17 Maret 2025,22.42 WIB,Hukum
"Penerima Manfaat Makan Bergizi Gratis hingga Maret Baru 2,05 Juta Orang, dari Target 82,9 Juta","Kementerian Keuangan melaporkan anggaran yang sudah terealisasi untuk program prioritas makan bergizi gratis hingga 12 Maret 2025 sebesar Rp 710,5 miliar.","TEMPO.CO,Jakarta- Kementerian Keuangan melaporkananggaranyang sudah cair untuk program prioritasmakan bergizi gratis(MBG) hingga 12 Maret 2025 sebesar Rp 710,5 miliar untuk 2,05 juta penerima manfaat. Jumlah tersebut masih jauh dari angka yang ditargetkan oleh Presiden Prabowo Subianto.

Wakil Menteri Keuangan Suahasil Nazara menuturkan, anggaranMBGyang dibayarkan dengan menggunakan anggaran pendapatan dan belanja negara (APBN) 2025 awalnya dialokasikan sebesar Rp 71 triliun. Dengan anggaran tersebut, target penerima ditetapkan 7,9 juta orang yang terdiri dari 15,5 juta anak sekolah serta 2,4 juta ibu hamil/menyusui dan balita.

Namun, Prabowo menginginkan target penyaluran dipercepat, sehingga perlu tambahan anggaran. Ia menginstruksikan penerima manfaat dimaksimalkan menjadi 82,9 juta orang pada 2025, dengan kebutuhan alokasi anggaran yang bertambah menjadi Rp 171 triliun.

“Sampai dengan tanggal 12 Maret, pencairan anggaran telah mencapai Rp 710,5 miliar dan sesuai laporan ini telah menjangkau penerima manfaat sebanyak lebih dari 2 juta orang,” tutur Suahasil dalam keterangan tertulis, dikutip Ahad, 16 Maret 2025.

Suahasil memaparkan penggunaan dana MBG telah menjangkau penerima manfaat yang berasal dari pra sekolah dasar, sekolah dasar, sekolah menengah pertama, sekolah menengah atas, pondok pesantren, sekolah luar biasa (SLB), balita dan ibu hamil. Sementara itu tercatat sebanyak 726 Satuan Pelayanan Pemenuhan Gizi (SPPG) yang telah beroperasi. Suahasil mengatakan angka tersebut akan selalu ditingkatkan supaya bisa menjangkau target 82,9 juta penerima manfaat yang telah ditetapkan.",17 Maret 2025,17.25 WIB,Bisnis
Peluncuran Dapur Satuan Pelayanan Pemenuhan Gizi,Tidak ditemukan,Tidak ditemukan,17 Maret 2025,17.00 WIB,Foto
Cari Sebab Penerimaan Pajak Anjlok: Salah Satunya Akibat Defisit Belanja Negara,Penerimaan pajak Indonesia per Februari 2025 menurun dibandingkan Februari 2024 akan berdampak bagi penerimaan negara. Apa sebabnya?,"PENERIMAANpajakIndonesia per Februari 2025 anjlok dibandingkan Februari 2024 akan berdampak besar bagi penerimaan negara.Berdasarkan data Kementerian Keuangan, setoran pajak per 28 Februari hanya mencapai Rp 187,8 triliun, turun 30,1 persen dari capaian tahun sebelumnya yang sebesar Rp 269,02 triliun.

Penerimaan pajak menjadi kontributor paling besar dalam pendanaan pembangunan nasional. Pajak sedari awal memang ditujukan untuk membiayai pengeluaran-pengeluaran negara yang meningkatkan kesejahteraan masyarakat. Namun, pemerintah Indonesia yang di akhir 2024 mengaku bisa optimistis bisa menyerap pajak yang jauh lebih besar ternyata tidak berjalan sesuai dengan harapan sampai Februari 2025.

Penurunan penerimaan ini diakibatkan rendahnya daya beli masyarakat dan hilangnya kepercayaan masyarakat. Hal ini diungkapkan oleh ekonomUGM, Rijadh Djatu Winardi.

“Potensi penurunan daya beli masyarakat masih menjadi ancaman nyata bagi perekonomian negara. Jika daya beli masyarakat melemah,” kata Rijadh pada 27 Februari 2025.

Jika hal ini berlanjut, akibat paling awal yang muncul adalah defisit anggaran belanja, yakni biaya belanja negara jauh lebih banyak daripada pemasukan. Hal ini bahkan sudah terjadi sampai februari kemarin, Sri Mulyani sebagai Menteri Keuangan sendiri melaporkan bahwa terjadidefisitsebanyak 0,13 persen atau Rp 31,3 triliun dari Produk Domestik Bruto.",17 Maret 2025,16.35 WIB,Bisnis
"Diskon Tarif Listrik Dinilai sebagai Kebijakan Prabowo Paling Berdampak Positif, Bukan Makan Bergizi Gratis","Data Kemenkeu anggaran diskon tarif listrik pada Januari 2025 tercatat sebesar Rp 7 triliun untuk 71,1 juta pelanggan","TEMPO.CO,Jakarta-Lembaga Penyelidikan Ekonomi dan Masyarakat Fakultas Ekonomi dan Bisnis Universitas Indonesia (LPEM FEB UI) menggelar survei untuk mengevaluasi 100 hari pertama pemerintahan Prabowo Subianto dan Gibran Rakabuming Raka. Hasil survei yang melibatkan 42 ekonom dari berbagai latar belakang ini menunjukkan sejumlah kebijakan yang digencarkan Prabowo pada awal masa menjabat dinilai berdampak bagi masyarakat dan perekonomian. “Namun, sebagian besar responden masih skeptis tentang dampaknya secara keseluruhan.Diskon tarif listrikdipandang sebagai agenda pemerintah yang paling berdampak (40,5 persen),” demikian tertulis dalam laporanLPEM Economic Experts Survey Semester I 2025, dikutip Senin, 17 Maret 2025.

Dari sejumlah program yang dievaluasi, sejumlah pakar ekonomi tidak melihat program makan bergizi gratis sebagai kebijakan Presiden Prabowo Subianto yang paling bermanfaat. Dari 42 pakar yang mengisi survei, hanya 19 persen yang menilai program makan bergizi gratis memberikan dampak positif. Sedangkan 11,9 persen pakar melihat program tiga juta rumah bermanfaat.

Hasil survei berikutnya diikuti penghapusan kredit macet usaha mikro, kecil, dan menengah atau UMKM oleh 31,0 persen responden. Kebijakan kenaikan upah minimum dan kebijakan pajak pertambahan nilai atau PPN dianggap bermanfaat oleh 26,2 persen dari total responden.

Bergabungnya Indonesia sebagai anggota BRICS dinilai berdampak bagi perekonomian oleh 9,5 persen responden. Lalu program pemeriksaan kesehatan gratis dipandang bermanfaat oleh 7,1 persen responden. Menurut laporan LPEM UI, kebijakan efisiensi anggaran dan diskon tiket liburan dilihat kurang berdampak, dengan presentase masing-masing 2,4 persen responden.

Tak hanya itu, lembaga riset ini mengungkapkan 23,8 persen responden menilai tidak satu pun dari 10 program Prabowo itu akan berdampak positif bagi perekonomian dan masyarakat.",17 Maret 2025,16.02 WIB,Bisnis
Alasan Anindya Bakrie Kukuhkan Sebanyak 2.800 Pengurus Kadin Periode 2024-2029,Kamar Dagang dan Industri Indonesia resmi melantik 2.800 pengurus baru. Apa alasan Ketua Umum Kadin Anindya Bakrie rekrut hingga ribuan pengurus?,"TEMPO.CO,Jakarta-Kamar Dagang dan Industri Indonesia (Kadin) mengukuhkan jajaran pengurus untuk masa bakti 2024–2029. Ketua Umum Kadin Indonesia Anindya Novyan Bakrie mengatakan terdapat 2.800 pengurus yang dikukuhkan.

“Pada hari ini Jumat 14 Maret 2025, saya Ketua Umum Kamar Dagang dan Industri Indonesia akan mengukuhkan pengurus masa bakti 2024-2029,” kataAnindya Bakriedalam sambutannya pada acara Pengukuhan Pengurus Kadin Indonesia Masa Bakti 2024-2029, Jumat, 14 Maret 2025 di Jakarta.

Pengesahan tersebut mengacu pada Surat Keputusan (SK) Kadin Indonesia No.14/DP/3/2025 tentang Pengesahan dan Pengukuhan Posisi Personalia Dewan Kehormatan, Dewan Penasehat, dan Dewan Pengurus Kadin 2024-2029 yang telah diterbitkan. Posisi Dewan Kehormatan Kadin Indonesia dipimpin oleh Rosan P. Roeslani dengan anggota Aburizal Bakrie, Mohammad S. Hidayat, dan Suryo Bambang Sulistio.

Selanjutnya, Dewan Penasehat Kadin Indonesia diketuai adik Presiden Prabowo Subianto,Hashim Djojohadikusumobersama dengan tiga wakil ketua yaitu Sharif Cicip Sutardjo, Edhie Baskoro Yudhoyono, dan Wishnu Wardhana. Sementara anggotanya termasuk Andi Syamsudin Arsyad (Haji Isam) dan Otto Toto Sugiri. Untuk Dewan Usaha Kadin Indonesia dipimpin oleh Chairul Tanjung, sementara Dewan Pertimbangan Kadin Indonesia dipimpin oleh Arsjad Rasjid.

Alasan Kadin Kukuhkan Ribuan Pengurus",17 Maret 2025,15.04 WIB,Bisnis
